id;data;length_after_html_drop;date;length;language-reliability;language;extension;target
tests\hsspam14\_ham_\1016748773261938688.twtid;This is a test tweet for english recognition.;45;Tue Jul 10 20:19:32 CEST 2018;45;1.0;en;twtid;ham
tests\hsspam14\_ham_\1016748849053011970.twtid;Este es un tweet de prueba para reconocer el español.;53;Tue Jul 10 20:19:50 CEST 2018;53;1.0;es;twtid;ham
tests\hsspam14\_ham_\1016748935661195264.twtid;https://t.co/VJTEzOgV8t;23;Tue Jul 10 20:20:11 CEST 2018;23;1.0;und;twtid;ham
tests\hsspam14\_ham_\1016749031933054976.twtid;😀😃😄😁😆😅😂🤣😇😉😊🙂🙃☺️;28;Tue Jul 10 20:20:34 CEST 2018;28;1.0;und;twtid;ham
tests\hsspam14\_ham_\329850912749256704.twtid;"RT @JaiBrooks1: Love this music video, it's done so good!! @arianagrande you're a hot goth!! http://t.co/Ri2jnMzcgX";115;Thu May 02 08:52:40 CEST 2013;115;1.0;en;twtid;ham
tests\hsspam14\_ham_\329850917459464192.twtid;RT @MileyCyrus: Who's excited for @vmagazine http://t.co/WXbomf5LQ3;67;Thu May 02 08:52:41 CEST 2013;67;1.0;en;twtid;ham
tests\hsspam14\_ham_\329850929866231808.twtid;"""@BOO_badd_azz: Girl u should know that, ur love is always on my mind. I'm not gonna fight it, I want it all the time♥""";119;Thu May 02 08:52:44 CEST 2013;119;1.0;en;twtid;ham
tests\hsspam14\_ham_\329850938611339264.twtid;"RT @Fact: Based on a psychological study : A crush only lasts for a maximum of 4 months. If it exceeds, you're already in love!";127;Thu May 02 08:52:46 CEST 2013;127;1.0;en;twtid;ham
tests\hsspam14\_ham_\329850938691031041.twtid;RT @BenGenMusic23: I love those people you can joke around with and have so much fun with and then have a deep conversation with and it’s n…;140;Thu May 02 08:52:46 CEST 2013;140;1.0;en;twtid;ham
tests\hsspam14\_spam_\329850892050370562.twtid;"I've collected 12,293 gold coins! http://t.co/MXyllUOlZa #android, #androidgames, #gameinsight";94;Thu May 02 08:52:35 CEST 2013;94;1.0;en;twtid;spam
tests\hsspam14\_spam_\329850892390117377.twtid;"I've collected 3,550 gold coins! http://t.co/wLuV7dlnFy #ipad, #ipadgames, #gameinsight";87;Thu May 02 08:52:35 CEST 2013;87;1.0;en;twtid;spam
tests\hsspam14\_spam_\329850892687908864.twtid;"I've collected 100,224 gold coins! http://t.co/t2FoETunxK #android, #androidgames, #gameinsight";95;Thu May 02 08:52:35 CEST 2013;95;1.0;en;twtid;spam
tests\hsspam14\_spam_\329850895862996992.twtid;"I've harvested 1,330 of food! http://t.co/b72NWsekRs #iphone, #iphonegames, #gameinsight";88;Thu May 02 08:52:36 CEST 2013;88;1.0;en;twtid;spam
